deal_id,cik,company_name,sic,first_filed,last_filed,filings,n_filings,outcome
256,0001123134,CHIPMOS TECHNOLOGIES INC,3674,2015-07-17,2016-11-01,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",16,likely_not_completed
257,0001125276,GENESYS SA,4899,2000-10-02,2001-03-23,"425,425,425,425,425,425,425,425,425,425,425,425,425",13,likely_not_completed
258,0001128749,GEMPLUS INTERNATIONAL SA,3669,2005-12-07,2006-05-02,"425,425,425,425,425,425,425,425,425,425,425,425,425,425",14,likely_completed
259,0001133478,CHIPMOS TECHNOLOGIES BERMUDA LTD,3674,2015-07-17,2016-11-01,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",16,likely_completed
260,0001138639,Infinera Corp,3661,2015-04-09,2015-08-03,"425,425,425,425,425,425,425,S-4,425,425,S-4/A,425,S-4/A,425,425,425,425",17,likely_not_completed
261,0001138639,Infinera Corp,3661,2024-06-28,2024-09-26,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",29,likely_completed
262,0001138830,AUTHENTEC INC,3674,2010-01-29,2010-07-01,"425,425,425,425,425,425,425,425,425,425,425,425,425",13,likely_not_completed
263,0001140486,ATHEROS COMMUNICATIONS INC,3674,2009-09-08,2009-11-10,"425,425,425,425,425,425,425,S-4,425,425,425,425,425,S-4/A,S-4/A,S-4/A",16,likely_not_completed
264,0001141107,ARRIS GROUP INC,3663,2007-09-24,2007-11-15,"425,425,425,S-4,425,425,425,S-4/A,425,425,425",11,likely_not_completed
265,0001141107,ARRIS GROUP INC,3663,2015-04-22,2015-12-22,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",32,likely_completed
266,0001160241,DIGITALNET HOLDINGS INC,7371,2003-07-16,2003-11-12,"S-4,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A",6,likely_completed
267,0001161963,AMIS HOLDINGS INC,3674,2003-02-10,2003-05-13,"S-4,S-4/A",2,likely_not_completed
268,0001161963,AMIS HOLDINGS INC,3674,2007-12-13,2008-03-14,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",34,likely_completed
269,0001166720,IPC ACQUISITION CORP,3661,2002-02-11,2002-05-14,"S-4,S-4/A",2,likely_not_completed
270,0001175609,"CAVIUM, INC.",3674,2016-06-15,2016-08-16,"425,425,S-4,S-4/A,425,425,425",7,likely_not_completed
271,0001175609,"CAVIUM, INC.",3674,2017-11-20,2018-03-09,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",26,likely_completed
272,0001183941,ACTIVIDENTITY CORP,7372,2002-09-25,2003-07-18,"425,S-4,S-4/A,S-4/A,S-4/A,425,425,425,425,425,S-4,S-4/A,425,425,425,425,425,425,425",19,likely_not_completed
273,0001201663,AUDIENCE INC,3674,2015-04-30,2015-05-19,"425,425,425,425,425,425,425,425,425,425",10,likely_completed
274,0001208208,"DIGITALGLOBE, INC.",4899,2012-07-23,2012-11-20,"425,425,425,425,425,425,S-4,425,425,425,425,425,S-4/A,S-4/A,425,425,425,425,425,425",20,likely_not_completed
275,0001208208,"DIGITALGLOBE, INC.",4899,2017-02-24,2017-08-10,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",37,likely_completed
276,0001217952,AMI SEMICONDUCTOR INC,3674,2003-02-10,2003-06-24,"S-4,S-4/A,S-4/A,S-4/A,S-4/A",5,likely_not_completed
277,0001221054,AMERICAN TOWERS INC,3663,2003-04-10,2004-04-13,"S-4,S-4,S-4/A",3,likely_not_completed
278,0001260625,"CHINA SECURITY & SURVEILLANCE TECHNOLOGY, INC.",3669,2006-10-03,2006-11-07,"S-4,S-4/A",2,likely_not_completed
279,0001264388,ALPHASMART INC,7371,2005-01-25,2005-06-23,"425,425,425,425,425,425,425,425,425,425,425",11,likely_completed
